Case ID,Activity,Complete Timestamp,noise
12,Approve application,2017-09-28 01:18:57.266,
12,end_event_Loan  application approved,2017-09-28 01:59:47.580,
13,start_event_Loan  application received,2017-09-27 14:29:13.289,
13,Check  application  form completeness,2017-09-27 14:59:49.831,
13,Appraise property,2017-09-27 15:57:34.101,
13,Check credit history,2017-09-27 16:27:55.797,
13,Assess loan risk,2017-09-27 18:18:47.580,
13,Assess eligibility,2017-09-27 18:45:18.479,
13,Check if home insurance quote is requested,2017-09-27 21:13:46.718,
13,Send home insurance quote,2017-09-28 00:29:54.384,
13,Verify repayment agreement,2017-09-28 00:50:52.692,
13,Cancel application,2017-09-28 01:03:26.467,
13,end_event_Loan  application canceled,2017-09-28 02:20:48.694,
14,Return application back to applicant,2017-09-28 02:20:48.694,true
14,start_event_Loan  application received,2017-09-27 14:34:29.434,
14,Check  application  form completeness,2017-09-27 15:10:57.908,
14,Return application back to applicant,2017-09-27 17:34:19.458,
14,Receive updated application,2017-09-27 17:48:01.915,
14,Check  application  form completeness,2017-09-27 18:44:15.025,
14,Appraise property,2017-09-27 19:21:31.146,
14,Check credit history,2017-09-27 20:45:33.756,
14,Assess loan risk,2017-09-28 00:10:01.468,
14,Assess eligibility,2017-09-28 01:04:09.097,
14,Reject application,2017-09-28 02:22:49.039,
14,end_event_Loan application rejected,2017-09-28 03:50:34.237,
15,start_event_Loan  application received,2017-09-28 08:11:08.383,
15,Check  application  form completeness,2017-09-28 09:43:57.515,
15,Check  application  form completeness,2017-09-28 09:43:57.515,true
15,Check credit history,2017-09-28 11:26:56.772,
15,Assess loan risk,2017-09-28 13:16:25.495,
15,Appraise property,2017-09-28 15:51:58.322,
15,Assess eligibility,2017-09-28 16:30:33.104,
15,Reject application,2017-09-28 16:33:47.527,
15,end_event_Loan application rejected,2017-09-28 16:40:00.125,
16,start_event_Loan  application received,2017-10-01 08:59:47.676,
16,Check  application  form completeness,2017-10-01 09:00:40.109,
16,Return application back to applicant,2017-10-01 11:02:25.973,
16,Receive updated application,2017-10-01 15:41:35.835,
16,Check  application  form completeness,2017-10-01 16:34:58.969,
16,Appraise property,2017-10-01 17:10:14.085,
16,Check credit history,2017-10-01 17:21:04.092,
16,Assess loan risk,2017-10-01 17:30:53.718,
16,Assess eligibility,2017-10-01 20:11:13.752,
16,Reject application,2017-10-01 20:20:26.478,
16,end_event_Loan application rejected,2017-10-01 20:33:20.451,
17,start_event_Loan  application received,2017-10-03 22:45:11.851,
17,Check  application  form completeness,2017-10-03 23:12:59.649,
17,Return application back to applicant,2017-10-03 23:18:36.192,
17,Receive updated application,2017-10-03 23:47:16.550,
17,Check  application  form completeness,2017-10-04 00:41:16.637,
17,Return application back to applicant,2017-10-04 00:56:06.099,
17,Receive updated application,2017-10-04 02:41:42.920,
17,Check  application  form completeness,2017-10-04 02:44:32.450,
17,Appraise property,2017-10-04 03:11:07.891,
17,Cancel application,2017-10-04 03:11:07.891,true
17,Check credit history,2017-10-04 03:38:53.120,
17,Assess loan risk,2017-10-04 08:09:39.586,
17,Assess eligibility,2017-10-04 09:02:29.047,
17,Reject application,2017-10-04 09:13:17.810,
17,end_event_Loan application rejected,2017-10-04 10:27:36.079,
18,start_event_Loan  application received,2017-10-04 18:22:41.903,
18,Check  application  form completeness,2017-10-04 19:24:03.784,
18,Return application back to applicant,2017-10-04 19:38:10.333,
18,Receive updated application,2017-10-05 00:12:41.738,
18,Check  application  form completeness,2017-10-05 00:22:12.471,
18,Check credit history,2017-10-05 00:56:46.128,
18,Assess loan risk,2017-10-05 01:41:26.833,
18,Appraise property,2017-10-05 02:38:32.283,
18,Assess eligibility,2017-10-05 03:15:27.665,
18,Reject application,2017-10-05 06:52:07.660,
18,end_event_Loan application rejected,2017-10-05 08:15:25.323,
19,start_event_Loan  application received,2017-10-06 14:29:15.003,
19,Check  application  form completeness,2017-10-06 15:48:28.284,
19,Return application back to applicant,2017-10-06 17:13:37.358,
19,Receive updated application,2017-10-06 17:57:31.104,
19,Assess loan risk,2017-10-06 17:57:31.104,true
19,Check  application  form completeness,2017-10-06 18:04:11.585,
19,Check credit history,2017-10-06 18:29:49.502,
19,Appraise property,2017-10-06 19:20:09.759,
19,Assess loan risk,2017-10-06 20:36:04.585,
19,Assess eligibility,2017-10-06 21:38:46.030,
19,Reject application,2017-10-06 22:35:14.352,
19,end_event_Loan application rejected,2017-10-06 22:47:13.086,
20,start_event_Loan  application received,2017-10-07 01:19:38.208,
20,Check  application  form completeness,2017-10-07 02:19:37.965,
20,Return application back to applicant,2017-10-07 02:42:26.008,
20,Receive updated application,2017-10-07 02:55:02.273,
20,Check  application  form completeness,2017-10-07 03:17:00.181,
20,Return application back to applicant,2017-10-07 03:40:51.787,
20,Receive updated application,2017-10-07 04:20:42.741,
20,Check  application  form completeness,2017-10-07 05:57:24.872,
20,Appraise property,2017-10-07 06:00:02.726,
20,Check credit history,2017-10-07 06:31:15.298,
20,Assess loan risk,2017-10-07 08:23:52.697,
20,Assess eligibility,2017-10-07 08:26:46.953,
20,Check if home insurance quote is requested,2017-10-07 09:24:10.066,
20,Send acceptance pack,2017-10-07 09:27:46.224,
20,Verify repayment agreement,2017-10-07 09:47:00.971,
20,Cancel application,2017-10-07 10:23:23.839,
20,end_event_Loan  application canceled,2017-10-07 10:27:58.436,
21,start_event_Loan  application received,2017-10-07 03:13:31.613,
21,Check  application  form completeness,2017-10-07 03:34:59.865,
21,Check credit history,2017-10-07 04:15:43.084,
21,Appraise property,2017-10-07 06:06:40.409,
21,Assess loan risk,2017-10-07 07:44:59.611,
21,Assess eligibility,2017-10-07 07:49:02.313,
21,Check if home insurance quote is requested,2017-10-07 08:23:19.725,
21,Send home insurance quote,2017-10-07 09:12:42.471,
21,Verify repayment agreement,2017-10-07 10:07:46.144,
21,Approve application,2017-10-07 10:34:16.308,
21,end_event_Loan  application approved,2017-10-07 12:04:02.918,
22,start_event_Loan  application received,2017-10-07 19:03:37.288,
22,Check  application  form completeness,2017-10-07 19:04:20.577,
22,Return application back to applicant,2017-10-07 20:53:56.670,
22,Receive updated application,2017-10-07 22:02:53.820,
22,Check  application  form completeness,2017-10-07 22:07:00.579,
22,Return application back to applicant,2017-10-07 22:09:40.776,
22,Receive updated application,2017-10-07 23:40:41.344,
22,Check  application  form completeness,2017-10-07 23:48:13.551,
22,Return application back to applicant,2017-10-07 23:54:26.235,
22,Receive updated application,2017-10-08 00:03:22.779,
22,Check  application  form completeness,2017-10-08 00:13:29.289,
22,Return application back to applicant,2017-10-08 01:25:08.625,
22,Receive updated application,2017-10-08 01:45:14.458,
22,Check  application  form completeness,2017-10-08 02:14:05.999,
22,Appraise property,2017-10-08 03:09:24.959,
22,Check credit history,2017-10-08 03:22:54.047,
22,Assess loan risk,2017-10-08 05:07:16.431,
22,Appraise property,2017-10-08 05:07:16.431,true
22,Assess eligibility,2017-10-08 07:25:37.356,
22,Check if home insurance quote is requested,2017-10-08 08:19:36.345,
22,Send home insurance quote,2017-10-08 09:04:50.440,
22,Verify repayment agreement,2017-10-08 09:11:10.439,
22,Cancel application,2017-10-08 09:18:14.525,
22,end_event_Loan  application canceled,2017-10-08 09:29:36.541,
23,start_event_Loan  application received,2017-10-10 22:25:41.216,
23,Check  application  form completeness,2017-10-10 22:44:02.803,
23,Send home insurance quote,2017-10-10 22:44:02.803,true
23,Return application back to applicant,2017-10-10 23:44:13.011,
23,Receive updated application,2017-10-11 00:36:53.484,
23,Check  application  form completeness,2017-10-11 00:37:20.618,
23,Appraise property,2017-10-11 03:52:51.516,
23,Check credit history,2017-10-11 03:56:47.881,
23,Assess loan risk,2017-10-11 05:02:22.472,
23,Assess eligibility,2017-10-11 05:33:36.722,
23,Reject application,2017-10-11 05:59:46.163,
23,end_event_Loan application rejected,2017-10-11 07:12:34.973,
24,start_event_Loan  application received,2017-10-11 15:58:21.844,
24,Check  application  form completeness,2017-10-11 17:06:17.392,
24,Return application back to applicant,2017-10-11 17:08:52.465,
24,Receive updated application,2017-10-11 17:58:36.760,
24,Check  application  form completeness,2017-10-11 20:46:52.352,
24,Appraise property,2017-10-11 22:41:29.024,
24,Check credit history,2017-10-11 23:37:52.851,
24,Assess loan risk,2017-10-12 00:37:28.596,
24,Assess eligibility,2017-10-12 00:57:10.612,
24,Check if home insurance quote is requested,2017-10-12 02:31:19.202,
24,Send acceptance pack,2017-10-12 02:59:32.376,
24,Verify repayment agreement,2017-10-12 03:34:36.245,
24,Cancel application,2017-10-12 03:46:07.014,
24,end_event_Loan  application canceled,2017-10-12 03:55:41.922,
25,start_event_Loan  application received,2017-10-12 01:52:19.635,
25,Check  application  form completeness,2017-10-12 04:40:42.820,
25,Return application back to applicant,2017-10-12 04:50:17.530,
25,Receive updated application,2017-10-12 06:59:29.091,
25,Check  application  form completeness,2017-10-12 09:25:44.821,
25,Return application back to applicant,2017-10-12 09:48:52.603,
25,Receive updated application,2017-10-12 10:04:46.441,
25,Check  application  form completeness,2017-10-12 12:12:56.838,
25,Return application back to applicant,2017-10-12 13:12:02.889,
25,Receive updated application,2017-10-12 14:38:52.739,
25,Check  application  form completeness,2017-10-12 14:50:18.262,
25,Check credit history,2017-10-12 16:13:08.472,
25,Assess loan risk,2017-10-12 18:08:51.919,
25,Appraise property,2017-10-12 19:14:57.872,
25,Assess eligibility,2017-10-12 19:41:02.968,
25,Reject application,2017-10-12 19:48:52.709,
25,end_event_Loan application rejected,2017-10-12 20:40:12.378,
26,start_event_Loan  application received,2017-10-14 10:34:04.505,
26,Check  application  form completeness,2017-10-14 10:38:00.420,
26,Reject application,2017-10-14 10:38:00.420,true
26,Return application back to applicant,2017-10-14 12:45:37.361,
26,Receive updated application,2017-10-14 14:34:11.282,
26,Check  application  form completeness,2017-10-14 15:05:10.114,
26,Return application back to applicant,2017-10-14 15:08:43.968,
26,Receive updated application,2017-10-14 15:50:59.155,
26,Check  application  form completeness,2017-10-14 15:52:39.686,
26,Return application back to applicant,2017-10-14 17:19:00.911,
26,Receive updated application,2017-10-14 17:28:08.605,
26,Check  application  form completeness,2017-10-14 18:15:25.897,
26,Appraise property,2017-10-14 19:41:33.597,
26,Check credit history,2017-10-14 19:46:36.774,
26,Assess loan risk,2017-10-14 19:51:50.652,
26,Assess eligibility,2017-10-14 20:42:26.172,
26,Check if home insurance quote is requested,2017-10-14 20:52:04.715,
26,Send acceptance pack,2017-10-14 20:56:17.484,
26,Verify repayment agreement,2017-10-14 21:46:35.248,
26,Cancel application,2017-10-14 22:08:27.999,
26,end_event_Loan  application canceled,2017-10-14 22:43:25.727,
27,start_event_Loan  application received,2017-10-14 19:12:06.043,
27,Check  application  form completeness,2017-10-14 19:17:20.051,
27,Return application back to applicant,2017-10-14 19:37:32.325,
27,Receive updated application,2017-10-14 20:00:52.142,
27,Check  application  form completeness,2017-10-14 20:01:15.310,
27,Return application back to applicant,2017-10-14 20:17:09.953,
27,end_event_Loan application rejected,2017-10-14 20:17:09.953,true
27,Receive updated application,2017-10-14 20:50:17.663,
27,Check  application  form completeness,2017-10-14 21:06:34.460,
27,Appraise property,2017-10-14 21:20:08.760,
27,Check credit history,2017-10-14 22:17:15.115,
27,Assess loan risk,2017-10-14 22:39:27.111,
27,Assess eligibility,2017-10-14 22:55:05.480,
27,Reject application,2017-10-15 00:19:15.216,
27,end_event_Loan application rejected,2017-10-15 00:57:46.263,
28,start_event_Loan  application received,2017-10-17 15:42:54.133,
28,Check  application  form completeness,2017-10-17 15:48:31.139,
28,Check credit history,2017-10-17 17:29:34.752,
28,Assess loan risk,2017-10-17 17:40:02.120,
28,Appraise property,2017-10-17 18:17:57.917,
28,Assess eligibility,2017-10-17 18:20:40.200,
28,Reject application,2017-10-17 18:57:39.793,
28,end_event_Loan application rejected,2017-10-17 19:34:45.543,
29,start_event_Loan  application received,2017-10-17 23:03:49.768,
29,Check  application  form completeness,2017-10-17 23:04:30.085,
29,Return application back to applicant,2017-10-18 00:20:33.618,
29,Receive updated application,2017-10-18 00:35:14.744,
29,Check  application  form completeness,2017-10-18 00:41:41.882,
29,Check credit history,2017-10-18 02:44:44.231,
29,Appraise property,2017-10-18 03:06:38.200,
29,Assess loan risk,2017-10-18 03:36:49.469,
29,Assess eligibility,2017-10-18 06:39:00.707,
29,Reject application,2017-10-18 07:25:26.304,
29,end_event_Loan application rejected,2017-10-18 07:58:19.778,
30,start_event_Loan  application received,2017-10-20 22:53:35.678,
30,Check  application  form completeness,2017-10-20 23:18:53.382,
30,Return application back to applicant,2017-10-20 23:37:41.065,
30,Receive updated application,2017-10-21 02:12:21.841,
30,Check  application  form completeness,2017-10-21 06:27:04.294,
30,Appraise property,2017-10-21 08:12:07.493,
30,Check credit history,2017-10-21 09:11:56.603,
30,Assess loan risk,2017-10-21 11:00:59.812,
30,Assess eligibility,2017-10-21 14:16:01.504,
30,Check if home insurance quote is requested,2017-10-21 16:58:46.818,
30,Send home insurance quote,2017-10-21 17:19:45.060,
30,Verify repayment agreement,2017-10-21 17:41:43.879,
30,Approve application,2017-10-21 17:57:30.787,
30,end_event_Loan  application approved,2017-10-21 18:13:28.862,
31,start_event_Loan  application received,2017-10-22 10:07:29.397,
31,Check  application  form completeness,2017-10-22 10:18:21.101,
31,Return application back to applicant,2017-10-22 10:41:58.278,
31,Receive updated application,2017-10-22 11:34:35.535,
31,Check  application  form completeness,2017-10-22 15:27:31.956,
31,Return application back to applicant,2017-10-22 16:55:41.989,
31,Receive updated application,2017-10-22 17:56:25.253,
31,Check if home insurance quote is requested,2017-10-22 17:56:25.253,true
31,Check  application  form completeness,2017-10-22 18:01:21.232,
31,Return application back to applicant,2017-10-22 19:00:42.743,
31,Receive updated application,2017-10-22 19:22:22.534,
31,Check  application  form completeness,2017-10-22 20:57:28.624,
31,Appraise property,2017-10-22 21:21:50.967,
31,Check credit history,2017-10-22 21:40:12.630,
31,Assess loan risk,2017-10-22 23:25:30.034,
31,Assess eligibility,2017-10-23 00:51:55.577,
31,Reject application,2017-10-23 01:29:04.727,
31,end_event_Loan application rejected,2017-10-23 01:41:27.095,
32,start_event_Loan  application received,2017-10-24 22:40:44.610,
32,Check  application  form completeness,2017-10-24 22:56:36.647,
32,Appraise property,2017-10-24 22:57:30.729,
32,Check credit history,2017-10-24 23:33:36.036,
32,Assess loan risk,2017-10-24 23:53:19.167,
32,Assess eligibility,2017-10-25 00:51:39.374,
32,Reject application,2017-10-25 01:47:38.202,
32,end_event_Loan application rejected,2017-10-25 02:25:41.209,
33,Appraise property,2017-10-25 02:25:41.209,true
33,start_event_Loan  application received,2017-10-26 03:32:49.664,
33,Check  application  form completeness,2017-10-26 03:34:06.489,
33,Return application back to applicant,2017-10-26 06:31:14.655,
33,Receive updated application,2017-10-26 07:30:33.969,
33,Check if home insurance quote is requested,2017-10-26 07:30:33.969,true
33,Check  application  form completeness,2017-10-26 07:51:35.951,
33,Return application back to applicant,2017-10-26 08:06:04.561,
33,Receive updated application,2017-10-26 08:50:42.320,
33,Check  application  form completeness,2017-10-26 09:28:25.184,
33,Return application back to applicant,2017-10-26 11:35:40.489,
33,Receive updated application,2017-10-26 11:45:29.426,
33,Check  application  form completeness,2017-10-26 11:48:37.084,
33,Return application back to applicant,2017-10-26 12:44:43.185,
33,Receive updated application,2017-10-26 12:50:48.182,
33,Check  application  form completeness,2017-10-26 12:52:05.333,
33,Return application back to applicant,2017-10-26 15:26:54.909,
33,Receive updated application,2017-10-26 16:02:42.189,
33,Check  application  form completeness,2017-10-26 16:31:49.862,
33,Appraise property,2017-10-26 16:49:16.238,
33,Check credit history,2017-10-26 18:47:25.947,
33,Assess loan risk,2017-10-26 20:02:49.313,
33,Assess eligibility,2017-10-26 20:11:14.217,
33,end_event_Loan application rejected,2017-10-26 20:11:14.217,true
33,Check if home insurance quote is requested,2017-10-27 02:39:00.193,
33,Send acceptance pack,2017-10-27 02:40:58.125,
33,start_event_Loan  application received,2017-10-27 02:40:58.125,true
33,Verify repayment agreement,2017-10-27 04:48:03.614,
33,Approve application,2017-10-27 06:19:41.988,
33,end_event_Loan  application approved,2017-10-27 07:56:28.121,
34,start_event_Loan  application received,2017-10-26 09:50:05.517,
34,Check  application  form completeness,2017-10-26 10:17:31.950,
34,Check credit history,2017-10-26 10:23:53.568,
34,Assess loan risk,2017-10-26 10:23:58.525,
34,Appraise property,2017-10-26 11:48:51.819,
34,Assess eligibility,2017-10-26 13:40:57.083,
34,Reject application,2017-10-26 14:02:10.726,
34,end_event_Loan application rejected,2017-10-26 15:03:35.809,
35,start_event_Loan  application received,2017-10-27 19:13:27.105,
35,Check  application  form completeness,2017-10-27 19:15:49.214,
35,Approve application,2017-10-27 19:15:49.214,true
35,Appraise property,2017-10-27 19:20:41.462,
35,Check credit history,2017-10-27 19:51:02.925,
35,Return application back to applicant,2017-10-27 19:51:02.925,true
35,Assess loan risk,2017-10-27 20:37:10.642,
35,Assess eligibility,2017-10-27 21:09:54.342,
35,Reject application,2017-10-27 21:50:36.213,
35,end_event_Loan application rejected,2017-10-27 22:09:43.935,
36,start_event_Loan  application received,2017-10-29 09:19:37.035,
36,Check  application  form completeness,2017-10-29 10:23:43.666,
36,Approve application,2017-10-29 10:23:43.666,true
36,Check credit history,2017-10-29 10:53:46.657,
36,Appraise property,2017-10-29 12:18:02.254,
36,Assess loan risk,2017-10-29 14:47:36.616,
36,Assess eligibility,2017-10-29 17:21:16.167,
36,Check if home insurance quote is requested,2017-10-29 18:08:01.494,
36,Send acceptance pack,2017-10-29 19:02:00.065,
36,Verify repayment agreement,2017-10-29 21:51:38.466,
36,Cancel application,2017-10-29 21:56:55.274,
36,end_event_Loan  application canceled,2017-10-29 22:21:01.367,
37,start_event_Loan  application received,2017-10-29 16:32:01.628,
37,Approve application,2017-10-29 16:32:01.628,true
37,Check  application  form completeness,2017-10-29 16:34:33.785,
37,Return application back to applicant,2017-10-29 16:42:15.554,
37,Receive updated application,2017-10-29 17:11:53.395,
37,Check  application  form completeness,2017-10-29 18:02:39.135,
37,Return application back to applicant,2017-10-29 18:17:15.957,
37,Receive updated application,2017-10-29 18:33:46.958,
37,Check  application  form completeness,2017-10-29 19:56:27.374,
37,Return application back to applicant,2017-10-29 19:58:43.938,
37,Receive updated application,2017-10-29 21:01:37.537,
37,Check  application  form completeness,2017-10-29 22:22:01.103,
37,Check credit history,2017-10-29 23:03:06.221,
37,Appraise property,2017-10-29 23:13:59.403,
37,Assess loan risk,2017-10-30 00:30:14.765,
37,Assess eligibility,2017-10-30 02:12:16.042,
37,Check if home insurance quote is requested,2017-10-30 02:23:59.773,
37,Send home insurance quote,2017-10-30 02:30:58.209,
37,Verify repayment agreement,2017-10-30 03:03:32.176,
37,Cancel application,2017-10-30 03:14:42.198,
37,end_event_Loan  application canceled,2017-10-30 04:39:33.699,
38,start_event_Loan  application received,2017-10-29 19:49:29.057,
38,Check  application  form completeness,2017-10-29 20:17:51.440,
38,Check credit history,2017-10-29 20:29:34.268,
38,Assess loan risk,2017-10-29 21:11:28.175,
38,Appraise property,2017-10-29 22:55:04.119,
38,Assess eligibility,2017-10-29 23:46:19.302,
38,Check if home insurance quote is requested,2017-10-30 00:22:11.062,
38,Send home insurance quote,2017-10-30 01:53:11.761,
38,Verify repayment agreement,2017-10-30 02:55:50.917,
38,Approve application,2017-10-30 03:46:07.591,
38,end_event_Loan  application approved,2017-10-30 04:59:30.191,
39,start_event_Loan  application received,2017-10-31 11:55:26.249,
