caseid,activity,ts,noise,outcome
16,Return application back to applicant,2017-09-27 23:12:41.780,,end_event_Loan application rejected
16,end_event_Loan application rejected,2017-09-27 23:12:41.780,True,Receive updated application
16,Receive updated application,2017-09-28 01:59:04.275,,Check  application  form completeness
16,Check  application  form completeness,2017-09-28 03:45:53.496,,Return application back to applicant
16,Return application back to applicant,2017-09-28 04:33:29.852,,Receive updated application
16,Receive updated application,2017-09-28 05:27:18.831,,Check  application  form completeness
16,Check  application  form completeness,2017-09-28 08:08:43.147,,Check credit history
16,Check credit history,2017-09-28 08:14:06.815,,Appraise property
16,Appraise property,2017-09-28 08:42:18.085,,Assess loan risk
19,start_event_Loan  application received,2017-09-29 03:02:11.413,,Check  application  form completeness
19,Check  application  form completeness,2017-09-29 05:56:23.695,,Return application back to applicant
19,Return application back to applicant,2017-09-29 07:30:31.453,,Receive updated application
19,Receive updated application,2017-09-29 08:06:08.074,,Check  application  form completeness
19,Check  application  form completeness,2017-09-29 08:49:48.310,,Check credit history
19,Check credit history,2017-09-29 08:51:33.852,,Appraise property
19,Appraise property,2017-09-29 12:42:41.724,,Assess loan risk
19,Assess loan risk,2017-09-29 13:07:04.860,,Assess eligibility
19,Assess eligibility,2017-09-29 13:12:27.341,,Check if home insurance quote is requested
19,Check if home insurance quote is requested,2017-09-29 13:43:32.306,,Send acceptance pack
19,Send acceptance pack,2017-09-29 13:49:38.101,,Verify repayment agreement
19,Verify repayment agreement,2017-09-29 15:04:00.348,,Check if home insurance quote is requested
19,Check if home insurance quote is requested,2017-09-29 15:04:00.348,True,Cancel application
19,Cancel application,2017-09-29 15:24:27.091,,Check credit history
19,Check credit history,2017-09-29 15:24:27.091,True,end_event_Loan  application canceled
22,start_event_Loan  application received,2017-10-03 13:43:01.069,,Check  application  form completeness
22,Check  application  form completeness,2017-10-03 14:01:58.048,,Return application back to applicant
22,Return application back to applicant,2017-10-03 14:21:35.356,,Receive updated application
22,Receive updated application,2017-10-03 16:48:08.721,,Check  application  form completeness
22,Check  application  form completeness,2017-10-03 18:34:11.549,,Return application back to applicant
22,Return application back to applicant,2017-10-03 19:07:48.505,,Receive updated application
22,Receive updated application,2017-10-03 19:16:00.210,,Check  application  form completeness
22,Check  application  form completeness,2017-10-03 19:29:35.342,,Return application back to applicant
22,Return application back to applicant,2017-10-03 21:40:43.367,,Receive updated application
22,Receive updated application,2017-10-03 22:52:04.445,,Check  application  form completeness
22,Check  application  form completeness,2017-10-04 01:47:56.335,,Return application back to applicant
22,Return application back to applicant,2017-10-04 02:15:11.670,,Receive updated application
22,Receive updated application,2017-10-04 04:02:47.814,,Appraise property
22,Appraise property,2017-10-04 04:02:47.814,True,Check  application  form completeness
22,Check  application  form completeness,2017-10-04 05:54:51.719,,Appraise property
31,start_event_Loan  application received,2017-10-08 05:14:45.693,,Check  application  form completeness
31,Check  application  form completeness,2017-10-08 05:36:35.160,,Return application back to applicant
31,Return application back to applicant,2017-10-08 05:53:08.583,,Receive updated application
31,Receive updated application,2017-10-08 06:22:36.849,,Check  application  form completeness
31,Check  application  form completeness,2017-10-08 07:55:52.938,,Assess eligibility
31,Assess eligibility,2017-10-08 07:55:52.938,True,Return application back to applicant
31,Return application back to applicant,2017-10-08 08:19:28.048,,Receive updated application
31,Receive updated application,2017-10-08 08:29:27.519,,Check  application  form completeness
31,Check  application  form completeness,2017-10-08 08:53:07.852,,Appraise property
31,Appraise property,2017-10-08 11:29:26.724,,Check credit history
31,Check credit history,2017-10-08 12:09:54.244,,Assess loan risk
31,Assess loan risk,2017-10-08 14:28:40.890,,Assess eligibility
31,Assess eligibility,2017-10-08 15:51:38.935,,Check if home insurance quote is requested
31,Check if home insurance quote is requested,2017-10-08 16:34:15.933,,Assess loan risk
31,Assess loan risk,2017-10-08 16:34:15.933,True,Send home insurance quote
33,start_event_Loan  application received,2017-10-10 09:26:53.368,,Check  application  form completeness
33,Check  application  form completeness,2017-10-10 09:49:26.820,,Return application back to applicant
33,Return application back to applicant,2017-10-10 11:19:46.511,,Receive updated application
33,Receive updated application,2017-10-10 13:26:08.852,,Check  application  form completeness
33,Check  application  form completeness,2017-10-10 15:30:38.852,,Return application back to applicant
33,Return application back to applicant,2017-10-10 15:37:24.138,,Receive updated application
33,Receive updated application,2017-10-10 15:47:51.653,,Check  application  form completeness
33,Check  application  form completeness,2017-10-10 16:41:06.768,,Send acceptance pack
33,Send acceptance pack,2017-10-10 16:52:24.740,True,Check credit history
33,Check credit history,2017-10-10 16:52:24.740,,Appraise property
33,Appraise property,2017-10-10 17:14:54.714,,Assess loan risk
33,Assess loan risk,2017-10-10 19:17:21.505,,Assess eligibility
33,Assess eligibility,2017-10-10 19:18:53.255,,Check if home insurance quote is requested
33,Check if home insurance quote is requested,2017-10-10 20:53:56.834,,Send acceptance pack
33,Send acceptance pack,2017-10-10 22:41:21.813,,Verify repayment agreement
40,start_event_Loan  application received,2017-10-18 03:40:40.277,,Reject application
40,Reject application,2017-10-18 03:40:40.277,True,Check  application  form completeness
40,Check  application  form completeness,2017-10-18 04:27:28.244,,Return application back to applicant
40,Return application back to applicant,2017-10-18 04:46:51.151,,Receive updated application
40,Receive updated application,2017-10-18 05:03:40.417,,Check  application  form completeness
40,Check  application  form completeness,2017-10-18 05:15:51.285,,Check credit history
40,Check credit history,2017-10-18 05:58:22.402,,end_event_Loan application rejected
40,end_event_Loan application rejected,2017-10-18 05:58:22.402,True,Assess loan risk
40,Assess loan risk,2017-10-18 06:35:54.461,,Appraise property
40,Appraise property,2017-10-18 07:22:52.403,,Assess eligibility
40,Assess eligibility,2017-10-18 08:24:00.074,,Assess loan risk
40,Assess loan risk,2017-10-18 08:24:00.074,True,Check if home insurance quote is requested
40,Check if home insurance quote is requested,2017-10-18 08:50:54.514,,Send acceptance pack
40,Send acceptance pack,2017-10-18 08:52:37.627,,Verify repayment agreement
40,Verify repayment agreement,2017-10-18 09:02:09.095,,Approve application
41,start_event_Loan  application received,2017-10-20 17:47:37.731,,Check  application  form completeness
41,Check  application  form completeness,2017-10-20 17:58:18.697,,Return application back to applicant
41,Return application back to applicant,2017-10-20 19:27:38.451,,Receive updated application
41,Receive updated application,2017-10-20 19:31:49.560,,Check  application  form completeness
41,Check  application  form completeness,2017-10-20 19:48:07.970,,Return application back to applicant
41,Return application back to applicant,2017-10-20 20:57:28.409,,Receive updated application
41,Receive updated application,2017-10-20 21:52:02.027,,Check  application  form completeness
41,Check  application  form completeness,2017-10-20 22:22:55.558,,Return application back to applicant
41,Return application back to applicant,2017-10-20 22:24:23.770,,Send home insurance quote
41,Send home insurance quote,2017-10-20 22:24:23.770,True,Check credit history
41,Check credit history,2017-10-20 22:39:09.546,True,Receive updated application
41,Receive updated application,2017-10-20 22:39:09.546,,Check  application  form completeness
41,Check  application  form completeness,2017-10-20 23:12:28.668,,start_event_Loan  application received
41,start_event_Loan  application received,2017-10-20 23:12:28.668,True,Check credit history
41,Check credit history,2017-10-20 23:58:05.918,,Cancel application
46,start_event_Loan  application received,2017-10-30 17:54:04.760,,Check  application  form completeness
46,Check  application  form completeness,2017-10-30 18:43:03.542,,Return application back to applicant
46,Return application back to applicant,2017-10-30 20:30:58.625,,Assess eligibility
46,Assess eligibility,2017-10-30 20:30:58.625,True,Receive updated application
46,Receive updated application,2017-10-30 21:07:53.956,,Check  application  form completeness
46,Check  application  form completeness,2017-10-31 01:23:43.442,,Return application back to applicant
46,Return application back to applicant,2017-10-31 01:28:06.806,,Receive updated application
46,Receive updated application,2017-10-31 02:40:29.969,,end_event_Loan application rejected
46,end_event_Loan application rejected,2017-10-31 02:40:29.969,True,Check  application  form completeness
46,Check  application  form completeness,2017-10-31 03:55:47.564,,Return application back to applicant
46,Return application back to applicant,2017-10-31 04:05:06.543,,Receive updated application
46,Receive updated application,2017-10-31 04:15:20.179,,Check  application  form completeness
46,Check  application  form completeness,2017-10-31 05:23:14.540,,Appraise property
46,Appraise property,2017-10-31 06:47:27.477,,Check credit history
46,Check credit history,2017-10-31 06:54:12.168,,Assess loan risk
51,start_event_Loan  application received,2017-11-01 14:15:17.845,,Return application back to applicant
51,Return application back to applicant,2017-11-01 14:15:17.845,True,Check  application  form completeness
51,Check  application  form completeness,2017-11-01 16:13:01.351,,Cancel application
51,Cancel application,2017-11-01 16:13:01.351,True,Return application back to applicant
51,Return application back to applicant,2017-11-01 16:47:10.482,,Receive updated application
51,Receive updated application,2017-11-01 17:21:37.142,,Check  application  form completeness
51,Check  application  form completeness,2017-11-01 17:32:30.671,,Return application back to applicant
51,Return application back to applicant,2017-11-01 21:10:36.631,,Receive updated application
51,Receive updated application,2017-11-01 23:43:23.514,,Check  application  form completeness
51,Check  application  form completeness,2017-11-01 23:55:35.013,,Return application back to applicant
51,Return application back to applicant,2017-11-02 00:42:45.317,,end_event_Loan  application canceled
51,end_event_Loan  application canceled,2017-11-02 02:09:24.289,True,Receive updated application
51,Receive updated application,2017-11-02 02:09:24.289,,Check  application  form completeness
51,Check  application  form completeness,2017-11-02 03:41:14.742,,Assess eligibility
51,Assess eligibility,2017-11-02 03:41:14.742,True,Appraise property
63,start_event_Loan  application received,2017-11-16 04:39:14.489,,Appraise property
63,Appraise property,2017-11-16 04:39:14.489,True,Check  application  form completeness
63,Check  application  form completeness,2017-11-16 05:22:34.646,,Return application back to applicant
63,Return application back to applicant,2017-11-16 08:59:16.652,,Receive updated application
63,Receive updated application,2017-11-16 09:14:45.061,,Verify repayment agreement
63,Verify repayment agreement,2017-11-16 09:16:35.981,True,Check  application  form completeness
63,Check  application  form completeness,2017-11-16 11:35:05.312,,Return application back to applicant
63,Return application back to applicant,2017-11-16 11:39:50.302,,Receive updated application
63,Receive updated application,2017-11-16 13:13:29.259,,Check  application  form completeness
63,Check  application  form completeness,2017-11-16 13:27:55.254,,Appraise property
63,Appraise property,2017-11-16 13:55:33.864,,Check credit history
63,Check credit history,2017-11-16 14:05:51.058,,Assess loan risk
63,Assess loan risk,2017-11-16 17:09:03.011,,Assess eligibility
63,Assess eligibility,2017-11-16 17:22:11.111,,Reject application
63,Reject application,2017-11-16 17:24:25.562,,end_event_Loan application rejected
65,start_event_Loan  application received,2017-11-17 10:14:09.651,,Receive updated application
65,Receive updated application,2017-11-17 10:14:09.651,True,Check  application  form completeness
65,Check  application  form completeness,2017-11-17 13:20:45.723,,Return application back to applicant
65,Return application back to applicant,2017-11-17 13:39:24.602,,Receive updated application
65,Receive updated application,2017-11-17 13:43:04.049,,Check  application  form completeness
65,Check  application  form completeness,2017-11-17 17:07:21.171,,Return application back to applicant
65,Return application back to applicant,2017-11-17 17:21:20.058,,Receive updated application
65,Receive updated application,2017-11-17 18:38:06.969,,Check  application  form completeness
65,Check  application  form completeness,2017-11-17 19:32:31.266,,Check credit history
65,Check credit history,2017-11-17 19:41:40.492,,Appraise property
65,Appraise property,2017-11-17 22:19:30.575,,Assess loan risk
65,Assess loan risk,2017-11-17 23:15:25.252,,Assess eligibility
65,Assess eligibility,2017-11-17 23:33:45.471,,Check if home insurance quote is requested
65,Check if home insurance quote is requested,2017-11-17 23:38:16.041,,Send acceptance pack
65,Send acceptance pack,2017-11-18 00:38:05.914,,Verify repayment agreement
70,start_event_Loan  application received,2017-11-26 09:09:38.129,,Check  application  form completeness
70,Check  application  form completeness,2017-11-26 09:48:58.431,,Return application back to applicant
70,Return application back to applicant,2017-11-26 10:21:00.289,,Receive updated application
70,Receive updated application,2017-11-26 10:41:04.865,,Check  application  form completeness
70,Check  application  form completeness,2017-11-26 12:42:35.014,,Return application back to applicant
70,Return application back to applicant,2017-11-26 12:50:01.239,,Check  application  form completeness
70,Check  application  form completeness,2017-11-26 12:50:01.239,True,Receive updated application
70,Receive updated application,2017-11-26 12:57:50.676,,Check  application  form completeness
70,Check  application  form completeness,2017-11-26 13:50:30.031,,Check credit history
70,Check credit history,2017-11-26 14:02:18.920,,Appraise property
70,Appraise property,2017-11-26 14:50:05.345,,Assess loan risk
70,Assess loan risk,2017-11-26 15:35:15.794,,Assess eligibility
70,Assess eligibility,2017-11-26 16:08:27.825,,Cancel application
70,Cancel application,2017-11-26 16:08:27.825,True,Reject application
70,Reject application,2017-11-26 17:47:31.695,,end_event_Loan application rejected
74,start_event_Loan  application received,2017-11-28 18:05:10.154,,Check  application  form completeness
74,Check  application  form completeness,2017-11-28 18:58:34.386,,Return application back to applicant
74,Return application back to applicant,2017-11-28 20:08:43.450,,Receive updated application
74,Receive updated application,2017-11-28 20:15:14.905,,Check  application  form completeness
74,Check  application  form completeness,2017-11-28 20:24:08.081,,Return application back to applicant
74,Return application back to applicant,2017-11-28 21:17:47.287,,Receive updated application
74,Receive updated application,2017-11-28 21:22:47.247,,Check  application  form completeness
74,Check  application  form completeness,2017-11-28 21:40:20.378,,Return application back to applicant
74,Return application back to applicant,2017-11-28 21:50:24.083,,Receive updated application
74,Receive updated application,2017-11-28 22:26:57.471,,Receive updated application
74,Receive updated application,2017-11-28 22:58:27.423,True,Check  application  form completeness
74,Check  application  form completeness,2017-11-28 22:58:27.423,,Check credit history
74,Check credit history,2017-11-28 23:18:19.400,,Assess loan risk
74,Assess loan risk,2017-11-28 23:29:29.836,,Appraise property
74,Appraise property,2017-11-29 00:16:49.221,,Assess eligibility
77,start_event_Loan  application received,2017-12-03 14:58:26.298,,Check  application  form completeness
77,Check  application  form completeness,2017-12-03 15:50:14.594,,Check if home insurance quote is requested
77,Check if home insurance quote is requested,2017-12-03 15:50:14.594,True,Return application back to applicant
77,Return application back to applicant,2017-12-03 17:38:37.818,,Receive updated application
77,Receive updated application,2017-12-03 17:44:49.408,,Check  application  form completeness
77,Check  application  form completeness,2017-12-03 18:15:37.898,,Return application back to applicant
77,Return application back to applicant,2017-12-03 20:04:56.708,,Receive updated application
77,Receive updated application,2017-12-03 20:32:39.515,,Check  application  form completeness
77,Check  application  form completeness,2017-12-03 20:35:34.989,,Cancel application
77,Cancel application,2017-12-03 20:35:34.989,True,Appraise property
77,Appraise property,2017-12-03 23:10:38.363,,Check credit history
77,Check credit history,2017-12-03 23:28:44.492,,Assess loan risk
77,Assess loan risk,2017-12-04 00:39:47.207,,Assess eligibility
77,Assess eligibility,2017-12-04 02:13:30.121,,Reject application
77,Reject application,2017-12-04 04:10:54.062,,end_event_Loan application rejected
80,Receive updated application,2017-12-04 09:51:06.261,True,start_event_Loan  application received
80,start_event_Loan  application received,2017-12-05 10:27:17.707,,Check  application  form completeness
80,Check  application  form completeness,2017-12-05 10:41:46.083,,Receive updated application
80,Receive updated application,2017-12-05 10:41:46.083,True,Return application back to applicant
80,Return application back to applicant,2017-12-05 11:05:53.590,,Receive updated application
80,Receive updated application,2017-12-05 11:40:53.950,,Check  application  form completeness
80,Check  application  form completeness,2017-12-05 11:44:26.456,,Appraise property
80,Appraise property,2017-12-05 12:38:38.934,,end_event_Loan  application canceled
80,end_event_Loan  application canceled,2017-12-05 12:38:38.934,True,Check credit history
80,Check credit history,2017-12-05 13:32:10.600,,Assess loan risk
80,Assess loan risk,2017-12-05 13:44:25.169,,Assess eligibility
80,Assess eligibility,2017-12-05 14:16:06.027,,Check if home insurance quote is requested
80,Check if home insurance quote is requested,2017-12-05 14:32:30.924,,Send acceptance pack
80,Send acceptance pack,2017-12-05 16:50:26.650,,Reject application
80,Reject application,2017-12-05 16:50:26.650,True,Verify repayment agreement
81,start_event_Loan  application received,2017-12-07 07:08:00.421,,Check  application  form completeness
81,Check  application  form completeness,2017-12-07 07:24:10.475,,Return application back to applicant
81,Return application back to applicant,2017-12-07 09:24:57.078,,Receive updated application
81,Receive updated application,2017-12-07 09:35:06.547,,Check  application  form completeness
81,Check  application  form completeness,2017-12-07 10:15:34.863,,Return application back to applicant
81,Return application back to applicant,2017-12-07 11:50:17.348,,Receive updated application
81,Receive updated application,2017-12-07 12:27:57.920,,Check  application  form completeness
81,Check  application  form completeness,2017-12-07 12:36:36.152,,Return application back to applicant
81,Return application back to applicant,2017-12-07 12:42:14.356,,Return application back to applicant
81,Return application back to applicant,2017-12-07 12:42:14.356,True,Receive updated application
81,Receive updated application,2017-12-07 12:50:13.664,,Check  application  form completeness
81,Check  application  form completeness,2017-12-07 13:16:13.123,,Check if home insurance quote is requested
81,Check if home insurance quote is requested,2017-12-07 13:16:13.123,True,Return application back to applicant
81,Return application back to applicant,2017-12-07 13:30:56.489,,Receive updated application
81,Receive updated application,2017-12-07 16:40:28.295,,Check  application  form completeness
89,start_event_Loan  application received,2017-12-18 11:21:36.935,,Check  application  form completeness
89,Check  application  form completeness,2017-12-18 11:54:53.845,,Return application back to applicant
89,Return application back to applicant,2017-12-18 14:23:11.290,,Receive updated application
89,Receive updated application,2017-12-18 15:08:50.293,,Check  application  form completeness
89,Check  application  form completeness,2017-12-18 15:26:12.330,,Return application back to applicant
89,Return application back to applicant,2017-12-18 16:00:52.811,,Receive updated application
89,Receive updated application,2017-12-18 16:12:08.576,,Check  application  form completeness
89,Check  application  form completeness,2017-12-18 16:25:18.775,,Return application back to applicant
89,Return application back to applicant,2017-12-18 16:34:36.807,,Receive updated application
89,Receive updated application,2017-12-18 17:35:23.378,,Check  application  form completeness
89,Check  application  form completeness,2017-12-18 18:38:07.415,,Verify repayment agreement
89,Verify repayment agreement,2017-12-18 18:38:07.415,True,Check credit history
89,Check credit history,2017-12-18 19:23:35.472,,Assess loan risk
89,Assess loan risk,2017-12-18 22:01:46.315,,Appraise property
89,Appraise property,2017-12-18 22:27:18.993,,Assess eligibility
90,start_event_Loan  application received,2017-12-19 12:36:13.105,,Check  application  form completeness
90,Check  application  form completeness,2017-12-19 13:51:27.762,,Return application back to applicant
90,Return application back to applicant,2017-12-19 14:25:57.112,,Receive updated application
90,Receive updated application,2017-12-19 15:24:45.501,,Check  application  form completeness
90,Check  application  form completeness,2017-12-19 15:40:49.391,,Return application back to applicant
90,Return application back to applicant,2017-12-19 16:18:05.847,,Receive updated application
90,Receive updated application,2017-12-19 16:28:35.785,,Check  application  form completeness
90,Check  application  form completeness,2017-12-19 17:01:57.762,,Check credit history
90,Check credit history,2017-12-19 17:57:18.853,,Cancel application
90,Cancel application,2017-12-19 17:57:18.853,True,Assess loan risk
90,Assess loan risk,2017-12-19 18:10:48.676,,Appraise property
90,Appraise property,2017-12-19 18:12:25.202,,Assess eligibility
90,Assess eligibility,2017-12-19 20:13:38.270,,Appraise property
90,Appraise property,2017-12-19 20:13:38.270,True,Reject application
90,Reject application,2017-12-19 21:00:40.410,,end_event_Loan application rejected
93,start_event_Loan  application received,2017-12-22 18:37:36.713,,Check  application  form completeness
93,Check  application  form completeness,2017-12-22 18:59:36.987,,Return application back to applicant
93,Return application back to applicant,2017-12-22 19:17:55.538,,Receive updated application
93,Receive updated application,2017-12-22 19:44:23.781,,Check  application  form completeness
93,Check  application  form completeness,2017-12-22 20:06:52.199,,Return application back to applicant
93,Return application back to applicant,2017-12-22 20:52:07.386,,Receive updated application
93,Receive updated application,2017-12-22 22:02:13.998,,Check  application  form completeness
93,Check  application  form completeness,2017-12-22 23:26:34.008,,Return application back to applicant
93,Return application back to applicant,2017-12-23 02:46:17.777,,Receive updated application
93,Receive updated application,2017-12-23 03:20:53.704,,Return application back to applicant
93,Return application back to applicant,2017-12-23 03:20:53.704,True,Check  application  form completeness
93,Check  application  form completeness,2017-12-23 03:23:54.762,,Return application back to applicant
93,Return application back to applicant,2017-12-23 05:08:50.596,,Receive updated application
93,Receive updated application,2017-12-23 05:23:45.741,,Check  application  form completeness
93,Check  application  form completeness,2017-12-23 05:57:14.951,,Appraise property
94,start_event_Loan  application received,2017-12-23 04:42:38.606,,Check  application  form completeness
94,Check  application  form completeness,2017-12-23 04:59:28.161,,Return application back to applicant
94,Return application back to applicant,2017-12-23 05:25:48.873,,Receive updated application
94,Receive updated application,2017-12-23 05:26:01.984,,Check  application  form completeness
94,Check  application  form completeness,2017-12-23 05:34:17.496,,Assess loan risk
94,Assess loan risk,2017-12-23 05:34:17.496,True,Return application back to applicant
94,Return application back to applicant,2017-12-23 06:42:38.632,,Receive updated application
94,Receive updated application,2017-12-23 09:08:11.575,,Check  application  form completeness
94,Check  application  form completeness,2017-12-23 09:20:49.206,,Check credit history
94,Check credit history,2017-12-23 11:18:14.175,,Appraise property
94,Appraise property,2017-12-23 13:44:56.965,,Assess loan risk
94,Assess loan risk,2017-12-23 14:34:52.762,,end_event_Loan  application canceled
94,end_event_Loan  application canceled,2017-12-23 14:34:52.762,True,Assess eligibility
94,Assess eligibility,2017-12-23 15:25:08.310,,Check if home insurance quote is requested
94,Check if home insurance quote is requested,2017-12-23 16:13:49.064,,Assess eligibility
96,start_event_Loan  application received,2017-12-24 19:42:24.547,,Check  application  form completeness
96,Check  application  form completeness,2017-12-24 20:41:31.411,,Return application back to applicant
96,Return application back to applicant,2017-12-24 21:20:45.226,,Receive updated application
96,Receive updated application,2017-12-24 21:23:41.097,,Check  application  form completeness
96,Check  application  form completeness,2017-12-24 21:52:40.462,,Return application back to applicant
96,Return application back to applicant,2017-12-24 21:57:59.360,,Receive updated application
96,Receive updated application,2017-12-25 00:10:17.984,,Check  application  form completeness
96,Check  application  form completeness,2017-12-25 00:31:33.295,,Return application back to applicant
96,Return application back to applicant,2017-12-25 01:13:03.116,,Receive updated application
96,Receive updated application,2017-12-25 02:41:38.714,,Check  application  form completeness
96,Check  application  form completeness,2017-12-25 03:52:42.476,,Return application back to applicant
96,Return application back to applicant,2017-12-25 04:51:30.463,,end_event_Loan  application approved
96,end_event_Loan  application approved,2017-12-25 05:24:22.654,True,Receive updated application
96,Receive updated application,2017-12-25 05:24:22.654,,Check  application  form completeness
96,Check  application  form completeness,2017-12-25 05:28:59.239,,Check credit history
98,start_event_Loan  application received,2017-12-26 00:13:17.447,,Check  application  form completeness
98,Check  application  form completeness,2017-12-26 00:39:27.114,,Return application back to applicant
98,Return application back to applicant,2017-12-26 01:12:23.120,,Receive updated application
98,Receive updated application,2017-12-26 02:28:14.236,,Check  application  form completeness
98,Check  application  form completeness,2017-12-26 05:28:10.064,,Check  application  form completeness
98,Check  application  form completeness,2017-12-26 05:28:10.064,True,Return application back to applicant
98,Return application back to applicant,2017-12-26 05:34:40.460,,Receive updated application
98,Receive updated application,2017-12-26 06:48:42.712,,Check  application  form completeness
98,Check  application  form completeness,2017-12-26 07:01:44.802,,Return application back to applicant
98,Return application back to applicant,2017-12-26 07:12:56.680,,Receive updated application
98,Receive updated application,2017-12-26 07:17:26.858,,Check  application  form completeness
98,Check  application  form completeness,2017-12-26 07:46:43.749,,Return application back to applicant
98,Return application back to applicant,2017-12-26 08:09:11.044,,Receive updated application
98,Receive updated application,2017-12-26 13:01:25.171,,Check  application  form completeness
98,Check  application  form completeness,2017-12-26 13:47:20.750,,Appraise property
100,start_event_Loan  application received,2017-12-28 23:11:13.114,,Check  application  form completeness
100,Check  application  form completeness,2017-12-29 00:08:58.510,,Return application back to applicant
100,Return application back to applicant,2017-12-29 00:35:41.389,,Receive updated application
100,Receive updated application,2017-12-29 03:38:22.353,,Check  application  form completeness
100,Check  application  form completeness,2017-12-29 04:29:05.332,,Return application back to applicant
100,Return application back to applicant,2017-12-29 05:45:45.171,,Receive updated application
100,Receive updated application,2017-12-29 09:34:40.386,,Check  application  form completeness
100,Check  application  form completeness,2017-12-29 09:46:07.410,,Return application back to applicant
100,Return application back to applicant,2017-12-29 10:43:59.755,,Receive updated application
100,Receive updated application,2017-12-29 10:50:34.022,,Check  application  form completeness
100,Check  application  form completeness,2017-12-29 10:53:45.852,,Appraise property
100,Appraise property,2017-12-29 12:00:59.896,,Check credit history
100,Check credit history,2017-12-29 13:14:20.077,,Assess loan risk
100,Assess loan risk,2017-12-29 15:43:09.711,,end_event_Loan  application approved
100,end_event_Loan  application approved,2017-12-29 15:43:09.711,True,Assess eligibility
112,Check if home insurance quote is requested,2018-01-07 11:32:20.505,True,start_event_Loan  application received
112,start_event_Loan  application received,2018-01-09 01:06:02.092,,Check  application  form completeness
112,Check  application  form completeness,2018-01-09 01:58:56.888,,Return application back to applicant
