caseid,activity,ts,noise,outcome
101,start_event_Loan  application received,2017-12-29 06:58:14.513,,Check  application  form completeness
101,Check  application  form completeness,2017-12-29 07:49:41.181,,Return application back to applicant
102,start_event_Loan  application received,2017-12-29 19:56:49.245,,Check  application  form completeness
102,Check  application  form completeness,2017-12-29 20:07:06.168,,end_event_Loan  application canceled
103,start_event_Loan  application received,2017-12-31 01:02:35.007,,Check  application  form completeness
103,Check  application  form completeness,2017-12-31 01:15:04.772,,Check credit history
104,start_event_Loan  application received,2017-12-31 14:55:52.138,,end_event_Loan  application approved
104,end_event_Loan  application approved,2017-12-31 14:55:52.138,True,Check  application  form completeness
105,start_event_Loan  application received,2018-01-01 08:52:44.909,,Check  application  form completeness
105,Check  application  form completeness,2018-01-01 08:54:56.120,,Return application back to applicant
106,start_event_Loan  application received,2018-01-04 13:47:40.045,,Check  application  form completeness
106,Check  application  form completeness,2018-01-04 14:00:16.056,,Appraise property
107,start_event_Loan  application received,2018-01-04 21:34:18.123,,Check  application  form completeness
107,Check  application  form completeness,2018-01-04 22:14:05.515,,Return application back to applicant
108,start_event_Loan  application received,2018-01-05 09:08:54.466,,Check  application  form completeness
108,Check  application  form completeness,2018-01-05 09:33:41.958,,Check credit history
109,start_event_Loan  application received,2018-01-05 19:38:45.782,,end_event_Loan application rejected
109,end_event_Loan application rejected,2018-01-05 20:54:33.711,True,Check  application  form completeness
110,start_event_Loan  application received,2018-01-06 23:00:52.466,,Check  application  form completeness
110,Check  application  form completeness,2018-01-07 02:09:06.555,,Check credit history
111,start_event_Loan  application received,2018-01-07 02:28:57.083,,Check  application  form completeness
111,Check  application  form completeness,2018-01-07 04:04:16.673,,Check credit history
112,Check if home insurance quote is requested,2018-01-07 11:32:20.505,True,start_event_Loan  application received
112,start_event_Loan  application received,2018-01-09 01:06:02.092,,Check  application  form completeness
113,start_event_Loan  application received,2018-01-10 02:09:39.344,,Check  application  form completeness
113,Check  application  form completeness,2018-01-10 04:47:34.413,,Return application back to applicant
114,start_event_Loan  application received,2018-01-10 14:16:50.552,,Check  application  form completeness
114,Check  application  form completeness,2018-01-10 14:26:15.186,,Return application back to applicant
115,start_event_Loan  application received,2018-01-10 15:50:47.543,,Check if home insurance quote is requested
115,Check if home insurance quote is requested,2018-01-10 15:50:47.543,True,Check  application  form completeness
116,start_event_Loan  application received,2018-01-11 07:38:53.528,,Check  application  form completeness
116,Check  application  form completeness,2018-01-11 08:11:40.139,,Return application back to applicant
117,start_event_Loan  application received,2018-01-12 14:08:42.776,,Check  application  form completeness
117,Check  application  form completeness,2018-01-12 14:21:21.572,,Appraise property
118,start_event_Loan  application received,2018-01-12 18:16:49.969,,Check  application  form completeness
118,Check  application  form completeness,2018-01-12 18:53:47.698,,Check credit history
119,start_event_Loan  application received,2018-01-14 00:56:54.917,,Check  application  form completeness
119,Check  application  form completeness,2018-01-14 01:23:07.852,,Appraise property
120,start_event_Loan  application received,2018-01-15 04:33:46.316,,Check  application  form completeness
120,Check  application  form completeness,2018-01-15 04:47:22.238,,Return application back to applicant
121,start_event_Loan  application received,2018-01-15 11:45:18.783,,Check  application  form completeness
121,Check  application  form completeness,2018-01-15 13:29:04.322,,end_event_Loan application rejected
122,start_event_Loan  application received,2018-01-15 19:47:18.023,,Check  application  form completeness
122,Check  application  form completeness,2018-01-15 20:00:10.762,,Check credit history
123,start_event_Loan  application received,2018-01-16 00:24:59.855,,Check  application  form completeness
123,Check  application  form completeness,2018-01-16 00:59:33.903,,Appraise property
124,Cancel application,2018-01-16 04:20:48.044,True,start_event_Loan  application received
124,start_event_Loan  application received,2018-01-16 15:52:25.552,,Check  application  form completeness
125,end_event_Loan  application canceled,2018-01-17 03:18:05.444,True,start_event_Loan  application received
125,start_event_Loan  application received,2018-01-17 12:32:16.809,,Check  application  form completeness
126,start_event_Loan  application received,2018-01-18 21:21:09.109,,Check  application  form completeness
126,Check  application  form completeness,2018-01-19 01:06:55.250,,Appraise property
127,start_event_Loan  application received,2018-01-19 02:24:04.416,,Check  application  form completeness
127,Check  application  form completeness,2018-01-19 02:31:56.893,,Check credit history
128,start_event_Loan  application received,2018-01-19 14:15:53.342,,Check  application  form completeness
128,Check  application  form completeness,2018-01-19 14:38:47.016,,Return application back to applicant
129,start_event_Loan  application received,2018-01-20 12:44:42.008,,Check  application  form completeness
129,Check  application  form completeness,2018-01-20 13:47:26.460,,end_event_Loan  application canceled
130,start_event_Loan  application received,2018-01-21 15:55:39.264,,Check  application  form completeness
130,Check  application  form completeness,2018-01-21 15:55:51.532,,Check  application  form completeness
131,start_event_Loan  application received,2018-01-21 16:33:50.536,,Check  application  form completeness
131,Check  application  form completeness,2018-01-21 17:20:14.126,,Check credit history
132,start_event_Loan  application received,2018-01-22 11:17:27.691,,Assess eligibility
132,Assess eligibility,2018-01-22 11:17:27.691,True,Check  application  form completeness
133,start_event_Loan  application received,2018-01-23 04:25:01.046,,Check  application  form completeness
133,Check  application  form completeness,2018-01-23 04:26:07.856,,Return application back to applicant
134,start_event_Loan  application received,2018-01-23 05:04:17.181,,Check  application  form completeness
134,Check  application  form completeness,2018-01-23 05:16:57.594,,Check credit history
135,start_event_Loan  application received,2018-01-23 10:16:30.597,,Check  application  form completeness
135,Check  application  form completeness,2018-01-23 11:05:07.428,,Send acceptance pack
136,start_event_Loan  application received,2018-01-24 08:19:48.769,,Check  application  form completeness
136,Check  application  form completeness,2018-01-24 08:26:31.343,,Check credit history
137,start_event_Loan  application received,2018-01-24 11:17:49.444,,Check  application  form completeness
137,Check  application  form completeness,2018-01-24 11:33:25.302,,Appraise property
138,start_event_Loan  application received,2018-01-24 16:42:11.041,,Check  application  form completeness
138,Check  application  form completeness,2018-01-24 17:01:29.797,,Assess loan risk
139,start_event_Loan  application received,2018-01-24 19:25:13.266,,Check  application  form completeness
139,Check  application  form completeness,2018-01-24 20:03:51.766,,Return application back to applicant
140,start_event_Loan  application received,2018-01-25 21:34:49.604,,Check  application  form completeness
140,Check  application  form completeness,2018-01-25 21:56:38.249,,Return application back to applicant
141,start_event_Loan  application received,2018-01-26 20:14:59.779,,Reject application
141,Reject application,2018-01-26 20:14:59.779,True,Check  application  form completeness
142,start_event_Loan  application received,2018-01-27 04:01:15.869,,Check  application  form completeness
142,Check  application  form completeness,2018-01-27 04:31:15.434,,Check credit history
143,start_event_Loan  application received,2018-01-28 16:31:18.437,,Check  application  form completeness
143,Check  application  form completeness,2018-01-28 16:42:12.927,,Return application back to applicant
144,start_event_Loan  application received,2018-01-29 08:14:26.365,,Check  application  form completeness
144,Check  application  form completeness,2018-01-29 09:36:38.445,,Check credit history
145,start_event_Loan  application received,2018-01-29 20:16:26.951,,Check  application  form completeness
145,Check  application  form completeness,2018-01-29 20:42:24.952,,Return application back to applicant
146,start_event_Loan  application received,2018-01-30 21:45:34.900,,Check  application  form completeness
146,Check  application  form completeness,2018-01-30 23:12:50.855,,Assess loan risk
147,start_event_Loan  application received,2018-01-31 07:33:47.296,,Check  application  form completeness
147,Check  application  form completeness,2018-01-31 09:17:36.709,,Appraise property
148,start_event_Loan  application received,2018-01-31 10:53:36.122,,Check  application  form completeness
148,Check  application  form completeness,2018-01-31 11:26:34.878,,Check credit history
149,start_event_Loan  application received,2018-02-01 11:29:51.660,,Check  application  form completeness
149,Check  application  form completeness,2018-02-01 11:34:24.860,,Check credit history
150,start_event_Loan  application received,2018-02-01 17:09:03.082,,Check  application  form completeness
150,Check  application  form completeness,2018-02-01 19:49:35.533,,Appraise property
151,start_event_Loan  application received,2018-02-01 21:18:56.811,,Check  application  form completeness
151,Check  application  form completeness,2018-02-01 21:19:51.548,,Check credit history
152,start_event_Loan  application received,2018-02-01 21:34:00.761,,Check  application  form completeness
152,Check  application  form completeness,2018-02-01 22:45:37.510,,Appraise property
153,start_event_Loan  application received,2018-02-02 22:26:23.730,,Check  application  form completeness
153,Check  application  form completeness,2018-02-02 22:41:28.733,,Appraise property
154,start_event_Loan  application received,2018-02-03 05:23:56.439,,Return application back to applicant
154,Return application back to applicant,2018-02-03 05:23:56.439,True,Check  application  form completeness
155,start_event_Loan  application received,2018-02-03 06:44:04.178,,Check  application  form completeness
155,Check  application  form completeness,2018-02-03 09:18:53.858,,Send home insurance quote
156,start_event_Loan  application received,2018-02-04 11:20:14.214,,Check  application  form completeness
156,Check  application  form completeness,2018-02-04 11:52:11.030,,end_event_Loan  application canceled
157,start_event_Loan  application received,2018-02-04 19:17:08.285,,Check  application  form completeness
157,Check  application  form completeness,2018-02-04 20:31:00.740,,Check credit history
158,start_event_Loan  application received,2018-02-05 11:22:39.697,,Check  application  form completeness
158,Check  application  form completeness,2018-02-05 12:20:04.371,,Check if home insurance quote is requested
159,start_event_Loan  application received,2018-02-06 07:22:36.831,,Check  application  form completeness
159,Check  application  form completeness,2018-02-06 07:27:18.437,,Appraise property
160,start_event_Loan  application received,2018-02-07 00:08:43.158,,Check  application  form completeness
160,Check  application  form completeness,2018-02-07 00:56:55.396,,Appraise property
161,start_event_Loan  application received,2018-02-07 01:03:18.469,,Check  application  form completeness
161,Check  application  form completeness,2018-02-07 05:14:39.085,,Check credit history
162,start_event_Loan  application received,2018-02-07 18:44:48.179,,Check  application  form completeness
162,Check  application  form completeness,2018-02-07 20:33:35.374,,Reject application
163,start_event_Loan  application received,2018-02-08 09:44:32.430,,Check  application  form completeness
163,Check  application  form completeness,2018-02-08 10:49:19.175,,Appraise property
164,start_event_Loan  application received,2018-02-08 18:41:50.379,,Check  application  form completeness
164,Check  application  form completeness,2018-02-08 21:15:34.614,,Return application back to applicant
165,start_event_Loan  application received,2018-02-08 22:25:26.289,,Check  application  form completeness
165,Check  application  form completeness,2018-02-08 22:34:31.591,,Return application back to applicant
166,start_event_Loan  application received,2018-02-10 20:33:48.980,,Check  application  form completeness
166,Check  application  form completeness,2018-02-10 21:52:09.892,,Check credit history
167,start_event_Loan  application received,2018-02-15 11:48:33.209,,Check  application  form completeness
167,Check  application  form completeness,2018-02-15 12:28:01.252,,Send acceptance pack
168,start_event_Loan  application received,2018-02-21 03:26:14.325,,Check  application  form completeness
168,Check  application  form completeness,2018-02-21 04:31:21.440,,Appraise property
169,start_event_Loan  application received,2018-02-21 22:24:29.613,,Check  application  form completeness
169,Check  application  form completeness,2018-02-21 22:34:50.951,,Return application back to applicant
170,start_event_Loan  application received,2018-02-23 01:45:59.075,,Check  application  form completeness
170,Check  application  form completeness,2018-02-23 04:02:23.206,,Return application back to applicant
171,start_event_Loan  application received,2018-02-23 09:44:06.339,,Check  application  form completeness
171,Check  application  form completeness,2018-02-23 11:12:52.566,,Assess loan risk
172,start_event_Loan  application received,2018-02-23 12:38:20.327,,Check  application  form completeness
172,Check  application  form completeness,2018-02-23 13:36:20.423,,Verify repayment agreement
173,start_event_Loan  application received,2018-02-26 09:55:50.499,,Check  application  form completeness
173,Check  application  form completeness,2018-02-26 10:35:54.992,,Check credit history
174,Appraise property,2018-02-26 13:15:15.645,True,start_event_Loan  application received
174,start_event_Loan  application received,2018-02-27 09:29:39.060,,Check  application  form completeness
175,start_event_Loan  application received,2018-02-27 09:43:34.960,,end_event_Loan application rejected
175,end_event_Loan application rejected,2018-02-27 09:43:34.960,True,Check  application  form completeness
176,start_event_Loan  application received,2018-02-28 21:27:35.947,,Check  application  form completeness
176,Check  application  form completeness,2018-02-28 21:55:33.916,,Return application back to applicant
177,start_event_Loan  application received,2018-03-05 22:54:55.423,,Check  application  form completeness
177,Check  application  form completeness,2018-03-06 01:01:31.480,,Return application back to applicant
178,start_event_Loan  application received,2018-03-06 03:19:34.595,,Check  application  form completeness
178,Check  application  form completeness,2018-03-06 04:31:39.102,,Return application back to applicant
179,start_event_Loan  application received,2018-03-06 12:25:29.503,,Check  application  form completeness
179,Check  application  form completeness,2018-03-06 12:26:05.586,,Check credit history
180,start_event_Loan  application received,2018-03-06 21:20:05.553,,Check  application  form completeness
180,Check  application  form completeness,2018-03-07 00:12:12.645,,Check credit history
181,start_event_Loan  application received,2018-03-07 02:47:43.915,,Check  application  form completeness
181,Check  application  form completeness,2018-03-07 03:09:58.106,,Appraise property
182,start_event_Loan  application received,2018-03-07 15:14:37.135,,Check  application  form completeness
182,Check  application  form completeness,2018-03-07 20:54:54.773,,Return application back to applicant
183,start_event_Loan  application received,2018-03-10 11:14:46.800,,Check  application  form completeness
183,Check  application  form completeness,2018-03-10 11:57:56.427,,Check  application  form completeness
184,start_event_Loan  application received,2018-03-11 10:25:08.963,,Check  application  form completeness
184,Check  application  form completeness,2018-03-11 10:40:48.089,,Return application back to applicant
185,start_event_Loan  application received,2018-03-11 12:31:52.456,,Check  application  form completeness
185,Check  application  form completeness,2018-03-11 12:53:47.306,,Return application back to applicant
186,start_event_Loan  application received,2018-03-12 11:51:29.972,,Check  application  form completeness
