caseid,activity,ts,noise,outcome
34,Return application back to applicant,2017-10-13 08:25:51.133,,Receive updated application
34,Receive updated application,2017-10-13 08:46:14.085,,Check  application  form completeness
34,Check  application  form completeness,2017-10-13 08:51:38.868,,Return application back to applicant
34,Return application back to applicant,2017-10-13 10:39:40.575,,Receive updated application
34,Receive updated application,2017-10-13 11:11:35.272,,Check  application  form completeness
34,Check  application  form completeness,2017-10-13 11:53:38.438,,Check credit history
34,Check credit history,2017-10-13 12:08:32.749,,Assess loan risk
34,Assess loan risk,2017-10-13 12:28:40.416,,Appraise property
34,Appraise property,2017-10-13 12:42:06.924,,Assess eligibility
35,start_event_Loan  application received,2017-10-13 08:55:17.380,,start_event_Loan  application received
35,start_event_Loan  application received,2017-10-13 08:55:17.380,True,Check  application  form completeness
35,Check  application  form completeness,2017-10-13 10:36:04.027,,Return application back to applicant
35,Return application back to applicant,2017-10-13 10:52:54.257,,Receive updated application
35,Receive updated application,2017-10-13 10:57:57.056,,Check  application  form completeness
35,Check  application  form completeness,2017-10-13 14:17:26.290,,Check credit history
35,Check credit history,2017-10-13 16:11:47.823,,Appraise property
35,Appraise property,2017-10-13 16:20:28.124,,Assess loan risk
35,Assess loan risk,2017-10-13 18:03:49.147,,Assess eligibility
35,Assess eligibility,2017-10-13 18:29:39.364,,Reject application
35,Reject application,2017-10-13 18:57:44.526,,end_event_Loan application rejected
38,start_event_Loan  application received,2017-10-13 20:00:57.087,,Check  application  form completeness
38,Check  application  form completeness,2017-10-13 20:37:23.532,,Appraise property
38,Appraise property,2017-10-13 21:10:40.550,,Check credit history
38,Check credit history,2017-10-13 21:21:18.287,,Assess loan risk
38,Assess loan risk,2017-10-13 21:29:16.093,,Assess eligibility
38,Assess eligibility,2017-10-13 22:26:15.998,,Check if home insurance quote is requested
38,Check if home insurance quote is requested,2017-10-13 22:50:35.472,,Appraise property
38,Appraise property,2017-10-13 22:50:35.472,True,Send acceptance pack
38,Send acceptance pack,2017-10-14 00:07:19.621,,Verify repayment agreement
38,Verify repayment agreement,2017-10-14 01:54:29.886,,Cancel application
38,Cancel application,2017-10-14 01:56:40.684,,end_event_Loan  application canceled
40,start_event_Loan  application received,2017-10-18 03:40:40.277,,Reject application
40,Reject application,2017-10-18 03:40:40.277,True,Check  application  form completeness
40,Check  application  form completeness,2017-10-18 04:27:28.244,,Return application back to applicant
40,Return application back to applicant,2017-10-18 04:46:51.151,,Receive updated application
40,Receive updated application,2017-10-18 05:03:40.417,,Check  application  form completeness
40,Check  application  form completeness,2017-10-18 05:15:51.285,,Check credit history
40,Check credit history,2017-10-18 05:58:22.402,,end_event_Loan application rejected
40,end_event_Loan application rejected,2017-10-18 05:58:22.402,True,Assess loan risk
40,Assess loan risk,2017-10-18 06:35:54.461,,Appraise property
40,Appraise property,2017-10-18 07:22:52.403,,Assess eligibility
40,Assess eligibility,2017-10-18 08:24:00.074,,Assess loan risk
41,start_event_Loan  application received,2017-10-20 17:47:37.731,,Check  application  form completeness
41,Check  application  form completeness,2017-10-20 17:58:18.697,,Return application back to applicant
41,Return application back to applicant,2017-10-20 19:27:38.451,,Receive updated application
41,Receive updated application,2017-10-20 19:31:49.560,,Check  application  form completeness
41,Check  application  form completeness,2017-10-20 19:48:07.970,,Return application back to applicant
41,Return application back to applicant,2017-10-20 20:57:28.409,,Receive updated application
41,Receive updated application,2017-10-20 21:52:02.027,,Check  application  form completeness
41,Check  application  form completeness,2017-10-20 22:22:55.558,,Return application back to applicant
41,Return application back to applicant,2017-10-20 22:24:23.770,,Send home insurance quote
41,Send home insurance quote,2017-10-20 22:24:23.770,True,Check credit history
41,Check credit history,2017-10-20 22:39:09.546,True,Receive updated application
42,start_event_Loan  application received,2017-10-24 19:13:40.373,,Check  application  form completeness
42,Check  application  form completeness,2017-10-24 20:28:23.753,,Return application back to applicant
42,Return application back to applicant,2017-10-24 20:51:02.288,,Receive updated application
42,Receive updated application,2017-10-24 21:28:09.525,,Check  application  form completeness
42,Check  application  form completeness,2017-10-24 21:59:04.999,,Appraise property
42,Appraise property,2017-10-24 22:39:21.764,,Check credit history
42,Check credit history,2017-10-24 23:40:13.592,,Assess loan risk
42,Assess loan risk,2017-10-25 00:57:41.114,,Assess eligibility
42,Assess eligibility,2017-10-25 03:58:17.784,,Check if home insurance quote is requested
42,Check if home insurance quote is requested,2017-10-25 04:57:50.123,,Send acceptance pack
42,Send acceptance pack,2017-10-25 05:34:09.807,,Verify repayment agreement
44,start_event_Loan  application received,2017-10-25 20:14:49.452,,Check  application  form completeness
44,Check  application  form completeness,2017-10-25 20:43:05.511,,Appraise property
44,Appraise property,2017-10-25 23:11:23.739,,Check credit history
44,Check credit history,2017-10-26 00:28:54.718,,Assess loan risk
44,Assess loan risk,2017-10-26 00:38:12.135,,Assess eligibility
44,Assess eligibility,2017-10-26 00:49:28.041,,Assess eligibility
44,Assess eligibility,2017-10-26 00:49:28.041,True,Check if home insurance quote is requested
44,Check if home insurance quote is requested,2017-10-26 01:37:53.402,,Send acceptance pack
44,Send acceptance pack,2017-10-26 02:00:41.818,,Verify repayment agreement
44,Verify repayment agreement,2017-10-26 03:31:43.392,,Cancel application
44,Cancel application,2017-10-26 05:45:21.870,,end_event_Loan  application canceled
46,start_event_Loan  application received,2017-10-30 17:54:04.760,,Check  application  form completeness
46,Check  application  form completeness,2017-10-30 18:43:03.542,,Return application back to applicant
46,Return application back to applicant,2017-10-30 20:30:58.625,,Assess eligibility
46,Assess eligibility,2017-10-30 20:30:58.625,True,Receive updated application
46,Receive updated application,2017-10-30 21:07:53.956,,Check  application  form completeness
46,Check  application  form completeness,2017-10-31 01:23:43.442,,Return application back to applicant
46,Return application back to applicant,2017-10-31 01:28:06.806,,Receive updated application
46,Receive updated application,2017-10-31 02:40:29.969,,end_event_Loan application rejected
46,end_event_Loan application rejected,2017-10-31 02:40:29.969,True,Check  application  form completeness
46,Check  application  form completeness,2017-10-31 03:55:47.564,,Return application back to applicant
46,Return application back to applicant,2017-10-31 04:05:06.543,,Receive updated application
47,start_event_Loan  application received,2017-10-31 13:54:35.623,,Check  application  form completeness
47,Check  application  form completeness,2017-10-31 16:35:33.174,,Return application back to applicant
47,Return application back to applicant,2017-10-31 16:47:15.707,,Receive updated application
47,Receive updated application,2017-10-31 17:08:28.211,,Check  application  form completeness
47,Check  application  form completeness,2017-10-31 20:28:22.056,,Check credit history
47,Check credit history,2017-10-31 23:40:12.666,,Appraise property
47,Appraise property,2017-11-01 04:30:45.855,,Check if home insurance quote is requested
47,Check if home insurance quote is requested,2017-11-01 04:30:45.855,True,Assess loan risk
47,Assess loan risk,2017-11-01 07:55:12.622,,Send home insurance quote
47,Send home insurance quote,2017-11-01 07:55:12.622,True,Assess eligibility
47,Assess eligibility,2017-11-01 08:19:53.171,,Reject application
51,start_event_Loan  application received,2017-11-01 14:15:17.845,,Return application back to applicant
51,Return application back to applicant,2017-11-01 14:15:17.845,True,Check  application  form completeness
51,Check  application  form completeness,2017-11-01 16:13:01.351,,Cancel application
51,Cancel application,2017-11-01 16:13:01.351,True,Return application back to applicant
51,Return application back to applicant,2017-11-01 16:47:10.482,,Receive updated application
51,Receive updated application,2017-11-01 17:21:37.142,,Check  application  form completeness
51,Check  application  form completeness,2017-11-01 17:32:30.671,,Return application back to applicant
51,Return application back to applicant,2017-11-01 21:10:36.631,,Receive updated application
51,Receive updated application,2017-11-01 23:43:23.514,,Check  application  form completeness
51,Check  application  form completeness,2017-11-01 23:55:35.013,,Return application back to applicant
51,Return application back to applicant,2017-11-02 00:42:45.317,,end_event_Loan  application canceled
53,start_event_Loan  application received,2017-11-03 05:23:55.037,,Check  application  form completeness
53,Check  application  form completeness,2017-11-03 07:59:19.483,,Appraise property
53,Appraise property,2017-11-03 08:37:41.134,,Check credit history
53,Check credit history,2017-11-03 09:26:27.139,,Assess loan risk
53,Assess loan risk,2017-11-03 09:37:05.595,,Assess eligibility
53,Assess eligibility,2017-11-03 10:47:10.829,,Check if home insurance quote is requested
53,Check if home insurance quote is requested,2017-11-03 11:59:02.271,,Send acceptance pack
53,Send acceptance pack,2017-11-03 12:09:42.298,,Verify repayment agreement
53,Verify repayment agreement,2017-11-03 12:24:25.707,,Approve application
53,Approve application,2017-11-03 13:50:24.459,,end_event_Loan  application approved
53,end_event_Loan  application approved,2017-11-03 13:58:47.324,,Approve application
55,start_event_Loan  application received,2017-11-04 23:00:02.424,,Check  application  form completeness
55,Check  application  form completeness,2017-11-04 23:00:30.942,,Return application back to applicant
55,Return application back to applicant,2017-11-04 23:03:53.609,,Receive updated application
55,Receive updated application,2017-11-05 00:54:53.264,,Send acceptance pack
55,Send acceptance pack,2017-11-05 00:54:53.264,True,Check  application  form completeness
55,Check  application  form completeness,2017-11-05 01:14:42.242,,Return application back to applicant
55,Return application back to applicant,2017-11-05 02:42:33.483,,Receive updated application
55,Receive updated application,2017-11-05 04:02:17.204,,Check  application  form completeness
55,Check  application  form completeness,2017-11-05 04:45:34.513,,Appraise property
55,Appraise property,2017-11-05 04:48:56.522,,Check credit history
55,Check credit history,2017-11-05 05:33:35.875,,Assess loan risk
58,start_event_Loan  application received,2017-11-08 21:43:56.161,,Check  application  form completeness
58,Check  application  form completeness,2017-11-08 21:47:39.173,,Check credit history
58,Check credit history,2017-11-08 23:27:45.629,,Appraise property
58,Appraise property,2017-11-08 23:53:43.476,,Assess loan risk
58,Assess loan risk,2017-11-09 00:16:01.754,,Assess eligibility
58,Assess eligibility,2017-11-09 00:20:30.483,,Check if home insurance quote is requested
58,Check if home insurance quote is requested,2017-11-09 00:35:07.299,,Send acceptance pack
58,Send acceptance pack,2017-11-09 01:31:47.171,,Send acceptance pack
58,Send acceptance pack,2017-11-09 01:31:47.171,True,Verify repayment agreement
58,Verify repayment agreement,2017-11-09 04:18:41.128,,Cancel application
58,Cancel application,2017-11-09 04:50:06.433,,end_event_Loan  application canceled
60,start_event_Loan  application received,2017-11-14 20:18:12.703,,Check  application  form completeness
60,Check  application  form completeness,2017-11-14 21:05:29.145,,Check credit history
60,Check credit history,2017-11-15 03:03:00.772,,Check credit history
60,Check credit history,2017-11-15 03:03:00.772,True,Appraise property
60,Appraise property,2017-11-15 03:46:06.211,,Assess loan risk
60,Assess loan risk,2017-11-15 04:50:23.591,,Assess eligibility
60,Assess eligibility,2017-11-15 04:58:06.944,,Check if home insurance quote is requested
60,Check if home insurance quote is requested,2017-11-15 05:57:08.314,,Send acceptance pack
60,Send acceptance pack,2017-11-15 11:25:38.681,,Verify repayment agreement
60,Verify repayment agreement,2017-11-15 11:37:06.210,,Cancel application
60,Cancel application,2017-11-15 11:37:39.975,,end_event_Loan  application canceled
61,start_event_Loan  application received,2017-11-15 16:27:18.350,,Check  application  form completeness
61,Check  application  form completeness,2017-11-15 16:41:09.189,,Return application back to applicant
61,Return application back to applicant,2017-11-15 16:53:20.617,,Receive updated application
61,Receive updated application,2017-11-15 18:31:38.046,,Check  application  form completeness
61,Check  application  form completeness,2017-11-15 20:13:04.928,,Return application back to applicant
61,Return application back to applicant,2017-11-15 20:47:34.585,,Receive updated application
61,Receive updated application,2017-11-16 00:15:28.485,,Check  application  form completeness
61,Check  application  form completeness,2017-11-16 00:35:30.506,,Check credit history
61,Check credit history,2017-11-16 01:13:27.383,,Appraise property
61,Appraise property,2017-11-16 04:42:29.161,,Assess loan risk
61,Assess loan risk,2017-11-16 06:53:41.802,,Assess eligibility
62,start_event_Loan  application received,2017-11-15 16:41:17.101,,Check  application  form completeness
62,Check  application  form completeness,2017-11-15 17:10:34.686,,Return application back to applicant
62,Return application back to applicant,2017-11-15 17:15:32.718,,Check  application  form completeness
62,Check  application  form completeness,2017-11-15 17:15:32.718,True,Receive updated application
62,Receive updated application,2017-11-15 17:49:25.166,,Check  application  form completeness
62,Check  application  form completeness,2017-11-15 19:25:05.823,,Appraise property
62,Appraise property,2017-11-15 20:16:39.072,,Check credit history
62,Check credit history,2017-11-15 23:38:10.975,,Assess loan risk
62,Assess loan risk,2017-11-16 00:38:03.954,,Assess eligibility
62,Assess eligibility,2017-11-16 02:45:08.900,,Check if home insurance quote is requested
62,Check if home insurance quote is requested,2017-11-16 03:40:56.664,,Send home insurance quote
63,start_event_Loan  application received,2017-11-16 04:39:14.489,,Appraise property
63,Appraise property,2017-11-16 04:39:14.489,True,Check  application  form completeness
63,Check  application  form completeness,2017-11-16 05:22:34.646,,Return application back to applicant
63,Return application back to applicant,2017-11-16 08:59:16.652,,Receive updated application
63,Receive updated application,2017-11-16 09:14:45.061,,Verify repayment agreement
63,Verify repayment agreement,2017-11-16 09:16:35.981,True,Check  application  form completeness
63,Check  application  form completeness,2017-11-16 11:35:05.312,,Return application back to applicant
63,Return application back to applicant,2017-11-16 11:39:50.302,,Receive updated application
