caseid,activity,ts,noise,outcome
30,Receive updated application,2017-10-08 05:52:08.178,True,Check if home insurance quote is requested
31,start_event_Loan  application received,2017-10-08 05:14:45.693,,Check  application  form completeness
31,Check  application  form completeness,2017-10-08 05:36:35.160,,Return application back to applicant
31,Return application back to applicant,2017-10-08 05:53:08.583,,Receive updated application
31,Receive updated application,2017-10-08 06:22:36.849,,Check  application  form completeness
31,Check  application  form completeness,2017-10-08 07:55:52.938,,Assess eligibility
31,Assess eligibility,2017-10-08 07:55:52.938,True,Return application back to applicant
31,Return application back to applicant,2017-10-08 08:19:28.048,,Receive updated application
32,start_event_Loan  application received,2017-10-10 05:05:57.630,,Check  application  form completeness
32,Check  application  form completeness,2017-10-10 06:38:09.797,,Check credit history
32,Check credit history,2017-10-10 06:56:13.640,,Appraise property
32,Appraise property,2017-10-10 07:18:19.686,,Assess loan risk
32,Assess loan risk,2017-10-10 08:30:22.477,,Assess eligibility
32,Assess eligibility,2017-10-10 09:02:17.258,,Check if home insurance quote is requested
32,Check if home insurance quote is requested,2017-10-10 09:43:31.308,,Approve application
33,start_event_Loan  application received,2017-10-10 09:26:53.368,,Check  application  form completeness
33,Check  application  form completeness,2017-10-10 09:49:26.820,,Return application back to applicant
33,Return application back to applicant,2017-10-10 11:19:46.511,,Receive updated application
33,Receive updated application,2017-10-10 13:26:08.852,,Check  application  form completeness
33,Check  application  form completeness,2017-10-10 15:30:38.852,,Return application back to applicant
33,Return application back to applicant,2017-10-10 15:37:24.138,,Receive updated application
33,Receive updated application,2017-10-10 15:47:51.653,,Check  application  form completeness
34,start_event_Loan  application received,2017-10-13 07:32:01.783,,Check  application  form completeness
34,Check  application  form completeness,2017-10-13 08:17:58.590,,Return application back to applicant
34,Return application back to applicant,2017-10-13 08:25:51.133,,Receive updated application
34,Receive updated application,2017-10-13 08:46:14.085,,Check  application  form completeness
34,Check  application  form completeness,2017-10-13 08:51:38.868,,Return application back to applicant
34,Return application back to applicant,2017-10-13 10:39:40.575,,Receive updated application
34,Receive updated application,2017-10-13 11:11:35.272,,Check  application  form completeness
35,start_event_Loan  application received,2017-10-13 08:55:17.380,,start_event_Loan  application received
35,start_event_Loan  application received,2017-10-13 08:55:17.380,True,Check  application  form completeness
35,Check  application  form completeness,2017-10-13 10:36:04.027,,Return application back to applicant
35,Return application back to applicant,2017-10-13 10:52:54.257,,Receive updated application
35,Receive updated application,2017-10-13 10:57:57.056,,Check  application  form completeness
35,Check  application  form completeness,2017-10-13 14:17:26.290,,Check credit history
35,Check credit history,2017-10-13 16:11:47.823,,Appraise property
36,start_event_Loan  application received,2017-10-13 13:11:33.848,,Check  application  form completeness
36,Check  application  form completeness,2017-10-13 13:34:16.481,,Appraise property
36,Appraise property,2017-10-13 14:27:59.261,,Check credit history
36,Check credit history,2017-10-13 15:19:49.052,,Assess loan risk
36,Assess loan risk,2017-10-13 15:27:04.596,,Assess eligibility
36,Assess eligibility,2017-10-13 16:01:52.116,,end_event_Loan application rejected
36,end_event_Loan application rejected,2017-10-13 16:01:52.116,True,Reject application
37,start_event_Loan  application received,2017-10-13 19:32:27.030,,Check  application  form completeness
37,Check  application  form completeness,2017-10-13 20:53:54.988,,Check credit history
37,Check credit history,2017-10-13 21:00:41.467,,Assess loan risk
37,Assess loan risk,2017-10-13 22:55:07.226,,Appraise property
37,Appraise property,2017-10-13 23:44:31.186,,Assess eligibility
37,Assess eligibility,2017-10-14 00:21:19.612,,Reject application
37,Reject application,2017-10-14 02:23:34.466,,end_event_Loan application rejected
38,start_event_Loan  application received,2017-10-13 20:00:57.087,,Check  application  form completeness
38,Check  application  form completeness,2017-10-13 20:37:23.532,,Appraise property
38,Appraise property,2017-10-13 21:10:40.550,,Check credit history
38,Check credit history,2017-10-13 21:21:18.287,,Assess loan risk
38,Assess loan risk,2017-10-13 21:29:16.093,,Assess eligibility
38,Assess eligibility,2017-10-13 22:26:15.998,,Check if home insurance quote is requested
38,Check if home insurance quote is requested,2017-10-13 22:50:35.472,,Appraise property
39,start_event_Loan  application received,2017-10-13 21:24:12.783,,Check  application  form completeness
39,Check  application  form completeness,2017-10-13 22:05:25.958,,Appraise property
39,Appraise property,2017-10-13 23:09:52.705,,Check if home insurance quote is requested
39,Check if home insurance quote is requested,2017-10-13 23:09:52.705,True,Check credit history
39,Check credit history,2017-10-13 23:16:09.083,,Assess loan risk
39,Assess loan risk,2017-10-13 23:31:00.249,,Assess eligibility
39,Assess eligibility,2017-10-13 23:52:38.912,,Reject application
40,start_event_Loan  application received,2017-10-18 03:40:40.277,,Reject application
40,Reject application,2017-10-18 03:40:40.277,True,Check  application  form completeness
40,Check  application  form completeness,2017-10-18 04:27:28.244,,Return application back to applicant
40,Return application back to applicant,2017-10-18 04:46:51.151,,Receive updated application
40,Receive updated application,2017-10-18 05:03:40.417,,Check  application  form completeness
40,Check  application  form completeness,2017-10-18 05:15:51.285,,Check credit history
40,Check credit history,2017-10-18 05:58:22.402,,end_event_Loan application rejected
41,start_event_Loan  application received,2017-10-20 17:47:37.731,,Check  application  form completeness
41,Check  application  form completeness,2017-10-20 17:58:18.697,,Return application back to applicant
41,Return application back to applicant,2017-10-20 19:27:38.451,,Receive updated application
41,Receive updated application,2017-10-20 19:31:49.560,,Check  application  form completeness
41,Check  application  form completeness,2017-10-20 19:48:07.970,,Return application back to applicant
41,Return application back to applicant,2017-10-20 20:57:28.409,,Receive updated application
41,Receive updated application,2017-10-20 21:52:02.027,,Check  application  form completeness
42,start_event_Loan  application received,2017-10-24 19:13:40.373,,Check  application  form completeness
42,Check  application  form completeness,2017-10-24 20:28:23.753,,Return application back to applicant
42,Return application back to applicant,2017-10-24 20:51:02.288,,Receive updated application
42,Receive updated application,2017-10-24 21:28:09.525,,Check  application  form completeness
42,Check  application  form completeness,2017-10-24 21:59:04.999,,Appraise property
42,Appraise property,2017-10-24 22:39:21.764,,Check credit history
42,Check credit history,2017-10-24 23:40:13.592,,Assess loan risk
43,start_event_Loan  application received,2017-10-25 16:55:04.383,,Check  application  form completeness
43,Check  application  form completeness,2017-10-25 17:46:49.545,,Check credit history
43,Check credit history,2017-10-25 18:07:06.493,,Appraise property
43,Appraise property,2017-10-25 19:17:45.406,,Assess loan risk
43,Assess loan risk,2017-10-25 19:50:31.773,,Assess eligibility
43,Assess eligibility,2017-10-25 20:17:03.501,,Reject application
43,Reject application,2017-10-25 21:42:50.183,,end_event_Loan application rejected
44,start_event_Loan  application received,2017-10-25 20:14:49.452,,Check  application  form completeness
44,Check  application  form completeness,2017-10-25 20:43:05.511,,Appraise property
44,Appraise property,2017-10-25 23:11:23.739,,Check credit history
44,Check credit history,2017-10-26 00:28:54.718,,Assess loan risk
44,Assess loan risk,2017-10-26 00:38:12.135,,Assess eligibility
44,Assess eligibility,2017-10-26 00:49:28.041,,Assess eligibility
44,Assess eligibility,2017-10-26 00:49:28.041,True,Check if home insurance quote is requested
45,start_event_Loan  application received,2017-10-30 16:40:50.079,,Check  application  form completeness
45,Check  application  form completeness,2017-10-30 18:10:33.877,,Cancel application
45,Cancel application,2017-10-30 18:10:33.877,True,Check credit history
45,Check credit history,2017-10-30 18:46:23.154,,Assess loan risk
45,Assess loan risk,2017-10-30 20:12:53.997,,Appraise property
45,Appraise property,2017-10-30 21:48:16.722,,Assess eligibility
45,Assess eligibility,2017-10-30 23:05:30.488,,Reject application
46,start_event_Loan  application received,2017-10-30 17:54:04.760,,Check  application  form completeness
46,Check  application  form completeness,2017-10-30 18:43:03.542,,Return application back to applicant
46,Return application back to applicant,2017-10-30 20:30:58.625,,Assess eligibility
46,Assess eligibility,2017-10-30 20:30:58.625,True,Receive updated application
46,Receive updated application,2017-10-30 21:07:53.956,,Check  application  form completeness
46,Check  application  form completeness,2017-10-31 01:23:43.442,,Return application back to applicant
46,Return application back to applicant,2017-10-31 01:28:06.806,,Receive updated application
47,start_event_Loan  application received,2017-10-31 13:54:35.623,,Check  application  form completeness
47,Check  application  form completeness,2017-10-31 16:35:33.174,,Return application back to applicant
47,Return application back to applicant,2017-10-31 16:47:15.707,,Receive updated application
47,Receive updated application,2017-10-31 17:08:28.211,,Check  application  form completeness
47,Check  application  form completeness,2017-10-31 20:28:22.056,,Check credit history
47,Check credit history,2017-10-31 23:40:12.666,,Appraise property
47,Appraise property,2017-11-01 04:30:45.855,,Check if home insurance quote is requested
48,start_event_Loan  application received,2017-11-01 05:44:48.861,,Check  application  form completeness
48,Check  application  form completeness,2017-11-01 06:36:10.952,,Appraise property
48,Appraise property,2017-11-01 06:36:58.780,,Check credit history
48,Check credit history,2017-11-01 07:07:55.767,,Assess loan risk
48,Assess loan risk,2017-11-01 07:08:47.604,,Assess eligibility
48,Assess eligibility,2017-11-01 07:09:08.995,,Check if home insurance quote is requested
48,Check if home insurance quote is requested,2017-11-01 07:10:53.276,,Send home insurance quote
49,start_event_Loan  application received,2017-11-01 08:04:09.785,,Check  application  form completeness
49,Check  application  form completeness,2017-11-01 09:08:43.031,,Check credit history
49,Check credit history,2017-11-01 09:16:35.528,,Appraise property
49,Appraise property,2017-11-01 10:20:50.351,,Assess loan risk
49,Assess loan risk,2017-11-01 10:41:26.837,,Assess eligibility
49,Assess eligibility,2017-11-01 11:22:56.447,,Check if home insurance quote is requested
49,Check if home insurance quote is requested,2017-11-01 11:33:58.926,,Send acceptance pack
50,start_event_Loan  application received,2017-11-01 11:05:50.554,,Check  application  form completeness
50,Check  application  form completeness,2017-11-01 12:17:18.397,,Check credit history
50,Check credit history,2017-11-01 13:24:47.657,,Appraise property
50,Appraise property,2017-11-01 14:01:27.237,,Assess loan risk
50,Assess loan risk,2017-11-01 14:51:28.599,,Assess eligibility
50,Assess eligibility,2017-11-01 15:39:49.237,,Reject application
50,Reject application,2017-11-01 15:50:42.872,,end_event_Loan application rejected
51,start_event_Loan  application received,2017-11-01 14:15:17.845,,Return application back to applicant
51,Return application back to applicant,2017-11-01 14:15:17.845,True,Check  application  form completeness
51,Check  application  form completeness,2017-11-01 16:13:01.351,,Cancel application
51,Cancel application,2017-11-01 16:13:01.351,True,Return application back to applicant
51,Return application back to applicant,2017-11-01 16:47:10.482,,Receive updated application
51,Receive updated application,2017-11-01 17:21:37.142,,Check  application  form completeness
51,Check  application  form completeness,2017-11-01 17:32:30.671,,Return application back to applicant
52,start_event_Loan  application received,2017-11-01 16:40:00.955,,Check  application  form completeness
52,Check  application  form completeness,2017-11-01 17:00:17.549,,Appraise property
52,Appraise property,2017-11-01 17:20:34.645,,end_event_Loan  application approved
52,end_event_Loan  application approved,2017-11-01 17:20:34.645,True,Check credit history
52,Check credit history,2017-11-01 17:23:24.987,,Assess loan risk
52,Assess loan risk,2017-11-01 19:54:23.377,,Assess eligibility
52,Assess eligibility,2017-11-01 20:33:47.999,,Reject application
53,start_event_Loan  application received,2017-11-03 05:23:55.037,,Check  application  form completeness
53,Check  application  form completeness,2017-11-03 07:59:19.483,,Appraise property
53,Appraise property,2017-11-03 08:37:41.134,,Check credit history
53,Check credit history,2017-11-03 09:26:27.139,,Assess loan risk
53,Assess loan risk,2017-11-03 09:37:05.595,,Assess eligibility
53,Assess eligibility,2017-11-03 10:47:10.829,,Check if home insurance quote is requested
53,Check if home insurance quote is requested,2017-11-03 11:59:02.271,,Send acceptance pack
54,start_event_Loan  application received,2017-11-03 14:04:46.801,,Check  application  form completeness
54,Check  application  form completeness,2017-11-03 14:26:53.889,,Send acceptance pack
54,Send acceptance pack,2017-11-03 14:26:53.889,True,Appraise property
54,Appraise property,2017-11-03 16:14:41.604,,Check credit history
54,Check credit history,2017-11-03 16:50:46.311,,Assess loan risk
54,Assess loan risk,2017-11-03 17:30:02.531,,Assess eligibility
54,Assess eligibility,2017-11-03 19:27:03.084,,Reject application
55,start_event_Loan  application received,2017-11-04 23:00:02.424,,Check  application  form completeness
55,Check  application  form completeness,2017-11-04 23:00:30.942,,Return application back to applicant
55,Return application back to applicant,2017-11-04 23:03:53.609,,Receive updated application
55,Receive updated application,2017-11-05 00:54:53.264,,Send acceptance pack
55,Send acceptance pack,2017-11-05 00:54:53.264,True,Check  application  form completeness
55,Check  application  form completeness,2017-11-05 01:14:42.242,,Return application back to applicant
55,Return application back to applicant,2017-11-05 02:42:33.483,,Receive updated application
56,start_event_Loan  application received,2017-11-06 22:05:40.381,,Check  application  form completeness
56,Check  application  form completeness,2017-11-06 22:54:53.453,,Approve application
56,Approve application,2017-11-06 22:54:53.453,True,Check credit history
56,Check credit history,2017-11-07 00:33:30.960,,Appraise property
56,Appraise property,2017-11-07 00:43:01.787,,Assess loan risk
56,Assess loan risk,2017-11-07 01:10:16.780,,Assess eligibility
56,Assess eligibility,2017-11-07 02:06:47.256,,Reject application
